PipelineResultId,PipelineName,ResultType,EntityId,EntityType,Score,Label,DetailsJson,GeneratedAt
66,ResidentRisk,Prediction,1.0,Resident,0.1479,Low,"{""improvement_prob"": 0.8521}",2026-04-07 22:46:31.030000
67,ResidentRisk,Prediction,2.0,Resident,0.8166,Critical,"{""improvement_prob"": 0.1834}",2026-04-07 22:46:31.092000
68,ResidentRisk,Prediction,3.0,Resident,0.7628,Critical,"{""improvement_prob"": 0.2372}",2026-04-07 22:46:31.149000
69,ResidentRisk,Prediction,4.0,Resident,0.1463,Low,"{""improvement_prob"": 0.8537}",2026-04-07 22:46:31.213000
70,ResidentRisk,Prediction,5.0,Resident,0.1862,Low,"{""improvement_prob"": 0.8138}",2026-04-07 22:46:31.279000
71,ResidentRisk,Prediction,6.0,Resident,0.1982,Low,"{""improvement_prob"": 0.8018}",2026-04-07 22:46:31.346000
72,ResidentRisk,Prediction,7.0,Resident,0.8986,Critical,"{""improvement_prob"": 0.1014}",2026-04-07 22:46:31.410000
73,ResidentRisk,Prediction,8.0,Resident,0.7505,Critical,"{""improvement_prob"": 0.2495}",2026-04-07 22:46:31.473000
74,ResidentRisk,Prediction,9.0,Resident,0.303,Medium,"{""improvement_prob"": 0.697}",2026-04-07 22:46:31.539000
75,ResidentRisk,Prediction,10.0,Resident,0.1871,Low,"{""improvement_prob"": 0.8129}",2026-04-07 22:46:31.612000
76,ResidentRisk,Prediction,11.0,Resident,0.8518,Critical,"{""improvement_prob"": 0.1482}",2026-04-07 22:46:31.677000
77,ResidentRisk,Prediction,12.0,Resident,0.6898,High,"{""improvement_prob"": 0.3102}",2026-04-07 22:46:31.741000
78,ResidentRisk,Prediction,13.0,Resident,0.4323,Medium,"{""improvement_prob"": 0.5677}",2026-04-07 22:46:31.808000
79,ResidentRisk,Prediction,14.0,Resident,0.1953,Low,"{""improvement_prob"": 0.8047}",2026-04-07 22:46:31.874000
80,ResidentRisk,Prediction,15.0,Resident,0.88,Critical,"{""improvement_prob"": 0.12}",2026-04-07 22:46:31.938000
81,ResidentRisk,Prediction,16.0,Resident,0.8668,Critical,"{""improvement_prob"": 0.1332}",2026-04-07 22:46:32.002000
82,ResidentRisk,Prediction,17.0,Resident,0.2303,Low,"{""improvement_prob"": 0.7697}",2026-04-07 22:46:32.069000
83,ResidentRisk,Prediction,18.0,Resident,0.8106,Critical,"{""improvement_prob"": 0.1894}",2026-04-07 22:46:32.135000
84,ResidentRisk,Prediction,19.0,Resident,0.2391,Low,"{""improvement_prob"": 0.7609}",2026-04-07 22:46:32.197000
85,ResidentRisk,Prediction,20.0,Resident,0.2252,Low,"{""improvement_prob"": 0.7748}",2026-04-07 22:46:32.264000
86,ResidentRisk,Prediction,21.0,Resident,0.2505,Medium,"{""improvement_prob"": 0.7495}",2026-04-07 22:46:32.339000
87,ResidentRisk,Prediction,22.0,Resident,0.2443,Low,"{""improvement_prob"": 0.7557}",2026-04-07 22:46:32.403000
88,ResidentRisk,Prediction,23.0,Resident,0.1495,Low,"{""improvement_prob"": 0.8505}",2026-04-07 22:46:32.473000
89,ResidentRisk,Prediction,24.0,Resident,0.3342,Medium,"{""improvement_prob"": 0.6658}",2026-04-07 22:46:32.537000
90,ResidentRisk,Prediction,25.0,Resident,0.6607,High,"{""improvement_prob"": 0.3393}",2026-04-07 22:46:32.602000
91,ResidentRisk,Prediction,26.0,Resident,0.1604,Low,"{""improvement_prob"": 0.8396}",2026-04-07 22:46:32.669000
92,ResidentRisk,Prediction,27.0,Resident,0.2616,Medium,"{""improvement_prob"": 0.7384}",2026-04-07 22:46:32.736000
93,ResidentRisk,Prediction,28.0,Resident,0.7776,Critical,"{""improvement_prob"": 0.2224}",2026-04-07 22:46:32.804000
94,ResidentRisk,Prediction,29.0,Resident,0.8386,Critical,"{""improvement_prob"": 0.1614}",2026-04-07 22:46:32.878000
95,ResidentRisk,Prediction,30.0,Resident,0.6774,High,"{""improvement_prob"": 0.3226}",2026-04-07 22:46:32.945000
96,ResidentRisk,Prediction,31.0,Resident,0.3406,Medium,"{""improvement_prob"": 0.6594}",2026-04-07 22:46:33.011000
97,ResidentRisk,Prediction,32.0,Resident,0.7316,High,"{""improvement_prob"": 0.2684}",2026-04-07 22:46:33.078000
98,ResidentRisk,Prediction,33.0,Resident,0.7965,Critical,"{""improvement_prob"": 0.2035}",2026-04-07 22:46:33.150000
99,ResidentRisk,Prediction,34.0,Resident,0.2794,Medium,"{""improvement_prob"": 0.7206}",2026-04-07 22:46:33.214000
100,ResidentRisk,Prediction,35.0,Resident,0.8031,Critical,"{""improvement_prob"": 0.1969}",2026-04-07 22:46:33.278000
101,ResidentRisk,Prediction,36.0,Resident,0.1461,Low,"{""improvement_prob"": 0.8539}",2026-04-07 22:46:33.341000
102,ResidentRisk,Prediction,37.0,Resident,0.2051,Low,"{""improvement_prob"": 0.7949}",2026-04-07 22:46:33.409000
103,ResidentRisk,Prediction,38.0,Resident,0.9003,Critical,"{""improvement_prob"": 0.0997}",2026-04-07 22:46:33.473000
104,ResidentRisk,Prediction,39.0,Resident,0.9387,Critical,"{""improvement_prob"": 0.0613}",2026-04-07 22:46:33.534000
105,ResidentRisk,Prediction,40.0,Resident,0.905,Critical,"{""improvement_prob"": 0.095}",2026-04-07 22:46:33.599000
106,ResidentRisk,Prediction,41.0,Resident,0.7511,Critical,"{""improvement_prob"": 0.2489}",2026-04-07 22:46:33.663000
107,ResidentRisk,Prediction,42.0,Resident,0.9247,Critical,"{""improvement_prob"": 0.0753}",2026-04-07 22:46:33.727000
108,ResidentRisk,Prediction,43.0,Resident,0.9319,Critical,"{""improvement_prob"": 0.0681}",2026-04-07 22:46:33.790000
109,ResidentRisk,Prediction,44.0,Resident,0.7858,Critical,"{""improvement_prob"": 0.2142}",2026-04-07 22:46:33.854000
110,ResidentRisk,Prediction,45.0,Resident,0.759,Critical,"{""improvement_prob"": 0.241}",2026-04-07 22:46:33.918000
111,ResidentRisk,Prediction,46.0,Resident,0.1812,Low,"{""improvement_prob"": 0.8188}",2026-04-07 22:46:33.990000
112,ResidentRisk,Prediction,47.0,Resident,0.9459,Critical,"{""improvement_prob"": 0.0541}",2026-04-07 22:46:34.056000
113,ResidentRisk,Prediction,48.0,Resident,0.8159,Critical,"{""improvement_prob"": 0.1841}",2026-04-07 22:46:34.124000
114,ResidentRisk,Prediction,49.0,Resident,0.8633,Critical,"{""improvement_prob"": 0.1367}",2026-04-07 22:46:34.186000
115,ResidentRisk,Prediction,50.0,Resident,0.2022,Low,"{""improvement_prob"": 0.7978}",2026-04-07 22:46:34.251000
116,ResidentRisk,Prediction,51.0,Resident,0.8701,Critical,"{""improvement_prob"": 0.1299}",2026-04-07 22:46:34.310000
117,ResidentRisk,Prediction,52.0,Resident,0.162,Low,"{""improvement_prob"": 0.838}",2026-04-07 22:46:34.374000
118,ResidentRisk,Prediction,53.0,Resident,0.2229,Low,"{""improvement_prob"": 0.7771}",2026-04-07 22:46:34.435000
119,ResidentRisk,Prediction,54.0,Resident,0.7372,High,"{""improvement_prob"": 0.2628}",2026-04-07 22:46:34.499000
120,ResidentRisk,Prediction,55.0,Resident,0.8622,Critical,"{""improvement_prob"": 0.1378}",2026-04-07 22:46:34.566000
121,ResidentRisk,Prediction,56.0,Resident,0.1805,Low,"{""improvement_prob"": 0.8195}",2026-04-07 22:46:34.630000
122,ResidentRisk,Prediction,57.0,Resident,0.8956,Critical,"{""improvement_prob"": 0.1044}",2026-04-07 22:46:34.694000
123,ResidentRisk,Prediction,58.0,Resident,0.1398,Low,"{""improvement_prob"": 0.8602}",2026-04-07 22:46:34.759000
124,ResidentRisk,Prediction,59.0,Resident,0.2372,Low,"{""improvement_prob"": 0.7628}",2026-04-07 22:46:34.818000
125,ResidentRisk,Prediction,60.0,Resident,0.8318,Critical,"{""improvement_prob"": 0.1682}",2026-04-07 22:46:34.885000
126,VisitationOutcome,Prediction,1.0,HomeVisitation,0.5549,Favorable,,2026-04-07 22:46:47.426000
127,VisitationOutcome,Prediction,2.0,HomeVisitation,0.7555,Favorable,,2026-04-07 22:46:47.504000
128,VisitationOutcome,Prediction,3.0,HomeVisitation,0.0029,Unfavorable,,2026-04-07 22:46:47.578000
129,VisitationOutcome,Prediction,4.0,HomeVisitation,0.0034,Unfavorable,,2026-04-07 22:46:47.644000
130,VisitationOutcome,Prediction,5.0,HomeVisitation,0.0067,Unfavorable,,2026-04-07 22:46:47.712000
131,VisitationOutcome,Prediction,6.0,HomeVisitation,0.736,Favorable,,2026-04-07 22:46:47.781000
132,VisitationOutcome,Prediction,7.0,HomeVisitation,0.0058,Unfavorable,,2026-04-07 22:46:47.852000
133,VisitationOutcome,Prediction,8.0,HomeVisitation,0.6849,Favorable,,2026-04-07 22:46:47.914000
134,VisitationOutcome,Prediction,9.0,HomeVisitation,0.5067,Favorable,,2026-04-07 22:46:47.983000
135,VisitationOutcome,Prediction,10.0,HomeVisitation,0.0068,Unfavorable,,2026-04-07 22:46:48.052000
136,VisitationOutcome,Prediction,11.0,HomeVisitation,0.0063,Unfavorable,,2026-04-07 22:46:48.118000
137,VisitationOutcome,Prediction,12.0,HomeVisitation,0.6446,Favorable,,2026-04-07 22:46:48.185000
138,VisitationOutcome,Prediction,13.0,HomeVisitation,0.005,Unfavorable,,2026-04-07 22:46:48.254000
139,VisitationOutcome,Prediction,14.0,HomeVisitation,0.6906,Favorable,,2026-04-07 22:46:48.319000
140,VisitationOutcome,Prediction,15.0,HomeVisitation,0.6197,Favorable,,2026-04-07 22:46:48.383000
141,VisitationOutcome,Prediction,16.0,HomeVisitation,0.0037,Unfavorable,,2026-04-07 22:46:48.450000
142,VisitationOutcome,Prediction,17.0,HomeVisitation,0.7278,Favorable,,2026-04-07 22:46:48.510000
143,VisitationOutcome,Prediction,18.0,HomeVisitation,0.6685,Favorable,,2026-04-07 22:46:48.583000
144,VisitationOutcome,Prediction,19.0,HomeVisitation,0.7677,Favorable,,2026-04-07 22:46:48.653000
145,VisitationOutcome,Prediction,20.0,HomeVisitation,0.6175,Favorable,,2026-04-07 22:46:48.715000
146,VisitationOutcome,Prediction,21.0,HomeVisitation,0.0046,Unfavorable,,2026-04-07 22:46:48.783000
147,VisitationOutcome,Prediction,22.0,HomeVisitation,0.004,Unfavorable,,2026-04-07 22:46:48.846000
148,VisitationOutcome,Prediction,23.0,HomeVisitation,0.0084,Unfavorable,,2026-04-07 22:46:48.907000
149,VisitationOutcome,Prediction,24.0,HomeVisitation,0.0071,Unfavorable,,2026-04-07 22:46:48.969000
150,VisitationOutcome,Prediction,25.0,HomeVisitation,0.4048,Unfavorable,,2026-04-07 22:46:49.035000
151,VisitationOutcome,Prediction,26.0,HomeVisitation,0.0066,Unfavorable,,2026-04-07 22:46:49.097000
152,VisitationOutcome,Prediction,27.0,HomeVisitation,0.7396,Favorable,,2026-04-07 22:46:49.162000
153,VisitationOutcome,Prediction,28.0,HomeVisitation,0.7476,Favorable,,2026-04-07 22:46:49.226000
154,VisitationOutcome,Prediction,29.0,HomeVisitation,0.7492,Favorable,,2026-04-07 22:46:49.289000
155,VisitationOutcome,Prediction,30.0,HomeVisitation,0.7333,Favorable,,2026-04-07 22:46:49.354000
156,VisitationOutcome,Prediction,31.0,HomeVisitation,0.0059,Unfavorable,,2026-04-07 22:46:49.420000
157,VisitationOutcome,Prediction,32.0,HomeVisitation,0.7151,Favorable,,2026-04-07 22:46:49.487000
158,VisitationOutcome,Prediction,33.0,HomeVisitation,0.0048,Unfavorable,,2026-04-07 22:46:49.555000
159,VisitationOutcome,Prediction,34.0,HomeVisitation,0.0051,Unfavorable,,2026-04-07 22:46:49.619000
160,VisitationOutcome,Prediction,35.0,HomeVisitation,0.0064,Unfavorable,,2026-04-07 22:46:49.680000
161,VisitationOutcome,Prediction,36.0,HomeVisitation,0.5029,Favorable,,2026-04-07 22:46:49.743000
162,VisitationOutcome,Prediction,37.0,HomeVisitation,0.726,Favorable,,2026-04-07 22:46:49.805000
163,VisitationOutcome,Prediction,38.0,HomeVisitation,0.0071,Unfavorable,,2026-04-07 22:46:49.870000
164,VisitationOutcome,Prediction,39.0,HomeVisitation,0.7002,Favorable,,2026-04-07 22:46:49.934000
165,VisitationOutcome,Prediction,40.0,HomeVisitation,0.6724,Favorable,,2026-04-07 22:46:49.994000
166,VisitationOutcome,Prediction,41.0,HomeVisitation,0.0039,Unfavorable,,2026-04-07 22:46:50.057000
167,VisitationOutcome,Prediction,42.0,HomeVisitation,0.4673,Unfavorable,,2026-04-07 22:46:50.123000
168,VisitationOutcome,Prediction,43.0,HomeVisitation,0.0058,Unfavorable,,2026-04-07 22:46:50.186000
169,VisitationOutcome,Prediction,44.0,HomeVisitation,0.557,Favorable,,2026-04-07 22:46:50.244000
170,VisitationOutcome,Prediction,45.0,HomeVisitation,0.2351,Unfavorable,,2026-04-07 22:46:50.307000
171,VisitationOutcome,Prediction,46.0,HomeVisitation,0.0046,Unfavorable,,2026-04-07 22:46:50.370000
172,VisitationOutcome,Prediction,47.0,HomeVisitation,0.0037,Unfavorable,,2026-04-07 22:46:50.435000
173,VisitationOutcome,Prediction,48.0,HomeVisitation,0.0046,Unfavorable,,2026-04-07 22:46:50.502000
174,VisitationOutcome,Prediction,49.0,HomeVisitation,0.0052,Unfavorable,,2026-04-07 22:46:50.566000
175,VisitationOutcome,Prediction,50.0,HomeVisitation,0.0047,Unfavorable,,2026-04-07 22:46:50.630000
176,VisitationOutcome,Prediction,51.0,HomeVisitation,0.0028,Unfavorable,,2026-04-07 22:46:50.698000
177,VisitationOutcome,Prediction,52.0,HomeVisitation,0.5158,Favorable,,2026-04-07 22:46:50.762000
178,VisitationOutcome,Prediction,53.0,HomeVisitation,0.2767,Unfavorable,,2026-04-07 22:46:50.827000
179,VisitationOutcome,Prediction,54.0,HomeVisitation,0.004,Unfavorable,,2026-04-07 22:46:50.895000
180,VisitationOutcome,Prediction,55.0,HomeVisitation,0.8559,Favorable,,2026-04-07 22:46:50.959000
181,VisitationOutcome,Prediction,56.0,HomeVisitation,0.8157,Favorable,,2026-04-07 22:46:51.022000
